frame_time_delta,ipv6_plen,ipv6_nxt,frame_len,mqtt_dupflag,mqtt_hdrflags,mqtt_kalive,mqtt_msgid,mqtt_msgtype,mqtt_retain,label,mqtt_len_flag,mqtt_len_null,ipv6_src_fd,ipv6_src_fe,ipv6_dst_fd,ipv6_dst_fe,ipv6_dst_ff
0367002000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1673604000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2608805000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2103579000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
4097824000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1134533000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1229154000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0658842000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0933671000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0266394000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
